Año,Trimestre,Provincia,Accesos por cada 100 hogares,Categoría,Fecha
2020,4, Formosa ,32.49,Baja penetración,2020-04-01
2020,4, Jujuy ,53.46,Alta penetración,2020-04-01
2020,4, La Pampa ,81.77,Alta penetración,2020-04-01
2020,4, La Rioja ,50.11,Baja penetración,2020-04-01
2020,4, Mendoza ,38.63,Baja penetración,2020-04-01
2020,4, Misiones ,42.64,Baja penetración,2020-04-01
2020,4, Neuquén ,67.0,Alta penetración,2020-04-01
2020,4, Río Negro ,61.09,Alta penetración,2020-04-01
2020,4, Salta ,54.04,Alta penetración,2020-04-01
2020,4, San Juan ,36.32,Baja penetración,2020-04-01
2020,4, San Luis ,81.68,Alta penetración,2020-04-01
2020,4, Santa Cruz ,37.0,Baja penetración,2020-04-01
2020,4, Santa Fe ,73.58,Alta penetración,2020-04-01
2020,4, Santiago Del Estero ,43.75,Baja penetración,2020-04-01
2020,4, Tierra Del Fuego ,76.27,Alta penetración,2020-04-01
2020,4, Tucumán ,54.78,Alta penetración,2020-04-01
2020,3, Buenos Aires ,67.66,Alta penetración,2020-03-01
2020,3, Capital Federal ,107.68,Alta penetración,2020-03-01
2020,3, Catamarca ,47.16,Baja penetración,2020-03-01
2020,3, Chaco ,41.54,Baja penetración,2020-03-01
2020,3, Chubut ,68.34,Alta penetración,2020-03-01
2020,3, Córdoba ,75.22,Alta penetración,2020-03-01
2020,3, Corrientes ,41.75,Baja penetración,2020-03-01
2020,3, Entre Ríos ,58.19,Alta penetración,2020-03-01
2020,3, Formosa ,31.91,Baja penetración,2020-03-01
2020,3, Jujuy ,54.04,Alta penetración,2020-03-01
2020,3, La Pampa ,79.26,Alta penetración,2020-03-01
2020,3, La Rioja ,50.12,Baja penetración,2020-03-01
2020,3, Mendoza ,37.35,Baja penetración,2020-03-01
2020,3, Misiones ,41.6,Baja penetración,2020-03-01
2020,3, Neuquén ,65.24,Alta penetración,2020-03-01
2020,3, Río Negro ,57.05,Alta penetración,2020-03-01
2020,3, Salta ,52.32,Alta penetración,2020-03-01
2020,3, San Juan ,38.79,Baja penetración,2020-03-01
2020,3, San Luis ,79.96,Alta penetración,2020-03-01
2020,3, Santa Cruz ,35.95,Baja penetración,2020-03-01
2020,3, Santa Fe ,72.12,Alta penetración,2020-03-01
2020,3, Santiago Del Estero ,43.38,Baja penetración,2020-03-01
2020,3, Tierra Del Fuego ,76.81,Alta penetración,2020-03-01
2020,3, Tucumán ,53.23,Alta penetración,2020-03-01
2020,2, Buenos Aires ,65.22,Alta penetración,2020-02-01
2020,2, Capital Federal ,106.41,Alta penetración,2020-02-01
2020,2, Catamarca ,45.43,Baja penetración,2020-02-01
2020,2, Chaco ,39.83,Baja penetración,2020-02-01
2020,2, Chubut ,57.34,Alta penetración,2020-02-01
2020,2, Córdoba ,72.71,Alta penetración,2020-02-01
2020,2, Corrientes ,40.3,Baja penetración,2020-02-01
2020,2, Entre Ríos ,56.54,Alta penetración,2020-02-01
2020,2, Formosa ,31.14,Baja penetración,2020-02-01
2020,2, Jujuy ,47.89,Baja penetración,2020-02-01
2020,2, La Pampa ,76.1,Alta penetración,2020-02-01
2020,2, La Rioja ,49.84,Baja penetración,2020-02-01
2020,2, Mendoza ,36.25,Baja penetración,2020-02-01
2020,2, Misiones ,40.89,Baja penetración,2020-02-01
2020,2, Neuquén ,63.9,Alta penetración,2020-02-01
2020,2, Río Negro ,56.37,Alta penetración,2020-02-01
2020,2, Salta ,51.58,Alta penetración,2020-02-01
2020,2, San Juan ,35.09,Baja penetración,2020-02-01
2020,2, San Luis ,78.41,Alta penetración,2020-02-01
2020,2, Santa Cruz ,35.79,Baja penetración,2020-02-01
2020,2, Santa Fe ,70.0,Alta penetración,2020-02-01
2020,2, Santiago Del Estero ,43.47,Baja penetración,2020-02-01
2020,2, Tierra Del Fuego ,76.37,Alta penetración,2020-02-01
2020,2, Tucumán ,51.78,Alta penetración,2020-02-01
2020,1, Buenos Aires ,64.33,Alta penetración,2020-01-01
2020,1, Capital Federal ,105.98,Alta penetración,2020-01-01
2020,1, Catamarca ,37.62,Baja penetración,2020-01-01
2020,1, Chaco ,37.48,Baja penetración,2020-01-01
2020,1, Chubut ,51.27,Alta penetración,2020-01-01
2020,1, Córdoba ,70.69,Alta penetración,2020-01-01
2020,1, Corrientes ,38.73,Baja penetración,2020-01-01
2020,1, Entre Ríos ,56.12,Alta penetración,2020-01-01
2020,1, Formosa ,30.23,Baja penetración,2020-01-01
2020,1, Jujuy ,46.67,Baja penetración,2020-01-01
2020,1, La Pampa ,75.77,Alta penetración,2020-01-01
2020,1, La Rioja ,46.35,Baja penetración,2020-01-01
2020,1, Mendoza ,33.14,Baja penetración,2020-01-01
2020,1, Misiones ,39.02,Baja penetración,2020-01-01
2020,1, Neuquén ,61.85,Alta penetración,2020-01-01
2020,1, Río Negro ,55.12,Alta penetración,2020-01-01
